"STUDENTID","NAME","DATEOFBIRTH","GENDER","CONTACTNUMBER","DEPARTMENTID"
23105128001,"Shrishty Priya",18-03-04,"F","8123456701",105
23105128002,"Aman Kumar",07-12-03,"M","8234567812",105
23105128003,"Monu Kumar",25-01-04,"M","8345678923",105
23105128004,"Rohit Raj",14-10-03,"M","8456789034",105
23105128005,"Arun Kumar",09-05-04,"M","8567890145",105
23105128006,"Amarjeet Kumar",21-08-03,"M","8678901256",105
23105128007,"Md. Altaf Alam",02-02-04,"M","8789012367",105
23105128008,"Asha Kumari",11-06-04,"F","8890123478",105
23105128009,"Prince Kumar",29-11-03,"M","8901234589",105
23105128010,"Ananya Kumari",17-04-04,"F","9012345690",105
