"STUDENTID","NAME","DATEOFBIRTH","GENDER","CONTACTNUMBER","DEPARTMENTID"
23101128007,"Rishu Kumari",05-07-03,"F","7019458236",101
23102128014,"Neha Kumari",11-10-03,"F","9123987654",102
23105128001,"Shrishty Priya",18-03-04,"F","8123456701",105
23105128008,"Asha Kumari",11-06-04,"F","8890123478",105
23105128010,"Ananya Kumari",17-04-04,"F","9012345690",105
23110128003,"Priti Kumari",06-04-04,"F","9347695823",110
23110128007,"Sonam Priya",19-06-04,"F","9670928156",110
23110128010,"Nitu Kumari",22-02-04,"F","9013251489",110
23110128011,"Kalpana Chawla",30-11-03,"F","9124362590",110
23119128007,"Laxmi Kumari",18-05-04,"F","9125600044",119
23119128008,"Anisha Kumari",27-03-04,"F","9125600055",119
23157128001,"Priyanka Kumari",10-04-04,"F","9126700011",157
23157128006,"Priya Kumari",09-05-04,"F","9126700044",157
